symbol,r2,sum,sq_sum,res,cnt
002166.SZ,0.0936437,-1223.52,414701,375815,26513
002108.SZ,-0.802532,2572.96,30620.7,25875.4,407
000886.SZ,0.00194485,1858.9,60038.6,52325.5,454
300156.SZ,-0.298081,115.555,77721.7,100873,1106
000877.SZ,0.0904866,6165.44,181350,162419,13715
002058.SZ,0.0887729,-133.121,1932.78,1754.38,2368
000782.SZ,-0.0234798,8.14331,2126.43,2176.34,2974
002053.SZ,0.00943431,157.706,1906.9,1883.07,4222
300752.SZ,0.281622,-24.4179,4327.23,3108.48,3972
000010.SZ,0.309741,101.097,3752.54,2587.69,2778
002638.SZ,-0.0719965,-30.8551,3225.42,3457.35,3597
002857.SZ,0.227676,28.4236,3086.26,2383.38,2946
300694.SZ,0.208574,268.046,4540.64,3584.57,6313
300487.SZ,0.194139,377.209,6646.87,5343.39,8774
300105.SZ,0.194645,129.649,4914.64,3954.79,4167
300691.SZ,0.109972,-117.525,2719.05,2417.23,4378
002264.SZ,0.152165,-636.967,7732.03,6518.18,9223
002040.SZ,0.0440893,454.778,7425.61,7072.74,7759
300195.SZ,0.272211,-90.8363,8502.31,6187.18,8532
000958.SZ,0.255452,-204.878,10353.3,7705.28,9667
300635.SZ,0.0510513,3.00431,1478,1402.54,4077
000419.SZ,0.206963,18.3002,5898.45,4677.64,4741
300071.SZ,0.150091,-511.065,18353.9,15568.1,7145
002073.SZ,0.20623,451.065,7456.73,5896.84,7312
002762.SZ,0.016189,-172.423,4244.63,4170.4,5300
002752.SZ,0.142803,-49.967,3614.89,3098.16,4148
300247.SZ,-0.0534064,-220.027,5087.95,5350.96,5849
000720.SZ,-0.0910572,-243.709,9657.14,10523.4,4951
300517.SZ,0.226097,-91.3932,4387.97,3394.38,4370
300836.SZ,-0.0298343,-92.606,1288.47,1324.83,4242
002133.SZ,0.134255,-147.336,2696.99,2329.87,3733
300535.SZ,0.264683,175.364,3417.08,2506.8,3876
002441.SZ,0.0394745,-598.121,2680.78,2530.2,7678
300499.SZ,0.0387854,-364.024,12272.3,11775.3,6049
300421.SZ,0.24469,-203.332,5066.81,3820.92,5125
000027.SZ,0.30953,-270.232,5537.86,3818.18,9089
300272.SZ,0.224185,142.734,8680.1,6731.19,5344
000753.SZ,0.0276154,116.998,6364.23,6186.02,5409
300167.SZ,0.256657,74.1391,8106.02,6024.95,6702
002154.SZ,0.15697,-602.712,6170.83,5166.67,8619
000407.SZ,0.0430102,-327.721,4640.5,4424.32,6197
000633.SZ,0.347074,749.165,12660.8,8206.51,6100
000966.SZ,-0.0916874,-28.2416,3478.34,3797.1,5617
300304.SZ,0.170414,276.755,13239,10975.5,8532
300249.SZ,0.154389,-222.508,3380.76,2851.21,5513
000548.SZ,0.261094,128.884,4033.38,2976.85,3577
300332.SZ,0.257996,-36.3908,3961.26,2939.06,4725
300291.SZ,0.160238,47.7961,5274.31,4428.87,6685
002819.SZ,-0.12336,169.521,2738.32,3069.56,4920
002039.SZ,0.215966,-134.795,2108.36,1649.6,4158
002942.SZ,0.047422,-315.289,13104.3,12468.4,6552
300108.SZ,0.0667428,274.804,8077.08,7528.12,7134
000589.SZ,0.26336,-598.033,12684,9320.81,11604
